"Acelga", 18.97, 900
"Banana", 58.28, 1170
"Tomate", 725.42, 810
"Kinoto", 32.03, 224
"Uva", 647.89, 315
"Melón", 102.78, 360
"Pepino", 42.46, 435
"Higo", 2559.74, 116
"Uva", 783.91, 357
"Naranja", 12.20, 1100
"Alcachofa", 143.35, 354
"Caqui", 796.47, 90
"Manzana", 150.05, 810
"Pepino", 29.77, 515
"Acelga", 19.41, 792
"Espárrago", 612.44, 236
"Mandarina", 15.61, 1200
"Batata", 16.71, 870
"Banana", 70.07, 1150
"Champignon", 3550.71, 100
"Coliflor", 31.82, 530
"Lima", 1022.18, 210
"Champignon", 3575.59, 100
"Papa", 17.83, 1150
"Kinoto", 39.49, 160
"Apio", 68.21, 360
"Pomelo", 59.04, 1044
"Frutilla", 286.87, 282
"Palta", 489.39, 475
"Batata", 19.86, 940
"Manzana", 161.87, 900
"Durazno", 175.87, 648
"Sandía", 64.90, 1044
"Calabaza", 15.24, 912
"Repollo", 9.68, 567
"Kinoto", 27.38, 166
"Calabaza", 19.67, 688
"Lima", 1077.26, 194
"Lima", 985.09, 166
"Apio", 57.88, 309
"Manzana", 144.66, 1140
"Tomate", 736.69, 792
"Cebolla", 71.32, 768
"Limon", 307.67, 651
"Durazno", 275.36, 784
"Lima", 1025.07, 164
"Ciruela", 995.61, 873
"Acelga", 20.55, 891
"Tomate", 682.40, 945
"Ajo", 852.67, 114
"Brócoli", 389.14, 432
"Caqui", 839.30, 101
"Kinoto", 25.95, 194
"Pera", 154.46, 1150
"Cebolla", 54.41, 736
"Champignon", 3677.69, 109
"Cereza", 1015.03, 184
"Brócoli", 392.04, 408
"Lima", 1365.75, 198
"Higo", 2531.26, 85
"Choclo", 49.32, 345
"Pepino", 33.01, 535
"Limon", 301.22, 749
"Zuccini", 89.98, 612
"Melón", 106.17, 332
"Manzana", 142.76, 1190
"Palta", 486.22, 490
"Brócoli", 383.45, 396
"Pepino", 32.15, 570
"Durazno", 168.29, 904
"Higo", 2399.01, 94
"Brócoli", 356.61, 420
"Champignon", 3650.58, 83
"Durazno", 284.37, 688
"Manzana", 140.99, 1140
"Lima", 997.61, 166
"Durazno", 164.93, 832
"Coliflor", 25.77, 595
"Mandarina", 20.96, 1160
"Naranja", 19.09, 880
"Melón", 102.48, 396
"Coliflor", 33.02, 420
"Manzana", 125.27, 870
"Durazno", 138.87, 896
"Papa", 15.75, 1110
"Calabaza", 24.49, 808
"Pera", 151.37, 800
"Berenjena", 41.52, 534
"Apio", 60.22, 258
"Zanahoria", 33.75, 510
"Mandarina", 12.67, 920
"Champignon", 3607.87, 90
"Caqui", 874.09, 104
"Calabaza", 18.76, 648
"TomCherry", 556.23, 176
"Higo", 2501.95, 90
"Repollo", 8.55, 658
"Champignon", 3643.29, 120
"Lima", 1253.33, 218
"TomCherry", 552.88, 212
"Ciruela", 972.91, 981
"Berenjena", 52.86, 696
"Champignon", 3705.16, 96
"Mandarina", 11.96, 910
"Apio", 70.01, 309
"Alcachofa", 150.79, 333
"Mandarina", 19.91, 1130
"Tomate", 758.37, 1062
"Palta", 496.94, 400
"Zanahoria", 26.71, 558
"Papa", 19.51, 810
"Lima", 1214.43, 228
"Mandarina", 29.58, 850
"Higo", 2468.19, 105
"Mandarina", 23.40, 1180
"Acelga", 21.79, 855
"Choclo", 49.26, 288
"Frutilla", 287.50, 318
"Lima", 1024.32, 164
"Sandía", 61.08, 1071
"Naranja", 18.36, 1200
"Lima", 1063.54, 202
"Alcachofa", 129.97, 303
"Pera", 143.60, 1140
"Naranja", 21.40, 1130
"Papa", 21.24, 800
"Zuccini", 74.90, 672
"Sandía", 66.36, 738
"Kiwi", 430.33, 340
"Uva", 710.70, 276
"Lima", 1374.67, 196
"Lima", 1379.06, 232
"Papa", 22.83, 870
"Lechuga", 39.56, 720
"Papa", 14.98, 1080
"Melón", 93.78, 336
"Banana", 64.66, 1050
"Pepino", 49.59, 515
"Durazno", 267.82, 760
"Apio", 71.40, 270
"Cereza", 1047.03, 210
